Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,52 Week Change %
1 Year,2023-12-13,CVX,Energy,136.29813346249122,138.63735961914062,138.7044608922511,135.7996062581459,10641300.0,0.04715538
1 Year,2023-12-14,CVX,Energy,139.82613419583478,143.73760986328125,143.73760986328125,139.82613419583478,14960500.0,0.04715538
1 Year,2023-12-15,CVX,Energy,141.23543849856847,143.1815948486328,143.63218421328563,141.23543849856847,30848700.0,0.04715538
1 Year,2023-12-18,CVX,Energy,144.6004517745329,143.49794006347656,145.8371660203489,143.15282275368259,11561700.0,0.04715538
1 Year,2023-12-19,CVX,Energy,143.76639289790904,145.3769989013672,145.55915390550035,143.3158035598662,8738100.0,0.04715538
1 Year,2023-12-20,CVX,Energy,145.86593923784991,144.04441833496094,146.73835819419753,143.86226331895705,9370000.0,0.04715538
1 Year,2023-12-21,CVX,Energy,144.5525291308774,144.4854278564453,144.5717071929616,143.05696211696065,7264700.0,0.04715538
1 Year,2023-12-22,CVX,Energy,145.47285964167938,144.8113555908203,146.0960075753038,144.52374322585038,6394600.0,0.04715538
1 Year,2023-12-26,CVX,Energy,145.78924996313683,146.11520385742188,146.69041403052947,145.6262583874199,5165600.0,0.04715538
1 Year,2023-12-27,CVX,Energy,145.98099623568083,145.6358642578125,146.65208212915388,145.08939919761457,5337200.0,0.04715538
1 Year,2023-12-28,CVX,Energy,144.93599721533099,143.58424377441406,145.74131487861672,143.22951546762553,8148000.0,0.04715538
1 Year,2023-12-29,CVX,Energy,143.83348287887864,142.99942016601562,144.0252195839701,142.52965280425454,7653800.0,0.04715538
1 Year,2024-01-02,CVX,Energy,143.79515885915097,143.30621337890625,145.22360991991383,143.07613515627312,8879700.0,0.04715538
1 Year,2024-01-03,CVX,Energy,143.2199228885199,146.0384979248047,146.86297895835347,142.5392407329148,10255300.0,0.04715538
1 Year,2024-01-04,CVX,Energy,147.31356398603725,144.43746948242188,147.9750680624405,144.37035358895577,8220300.0,0.04715538
1 Year,2024-01-05,CVX,Energy,145.70296221880042,144.18821716308594,145.7509000590814,143.6417667438926,7455100.0,0.04715538
1 Year,2024-01-08,CVX,Energy,142.2899977730285,143.3253936767578,143.51713040813547,140.52599643863408,10038200.0,0.04715538
1 Year,2024-01-09,CVX,Energy,143.75679469215464,139.6823272705078,143.75679469215464,139.57686988151045,11784700.0,0.04715538
1 Year,2024-01-10,CVX,Energy,139.98913165863289,138.5319061279297,139.98913165863289,138.15801437127413,8490400.0,0.04715538
1 Year,2024-01-11,CVX,Energy,139.54811268011383,139.27967834472656,140.1329191883306,138.64693399906764,8612500.0,0.04715538
1 Year,2024-01-12,CVX,Energy,141.72435338020952,141.18748474121094,142.36667940390947,140.13291089419712,9382800.0,0.04715538
1 Year,2024-01-16,CVX,Energy,140.45886177315828,137.75534057617188,140.5259776658907,137.64988319371588,9380400.0,0.04715538
1 Year,2024-01-17,CVX,Energy,136.53780695359555,137.20889282226562,138.07173004933412,136.1734969269283,8167000.0,0.04715538
1 Year,2024-01-18,CVX,Energy,137.09385768678405,135.9626007080078,137.27601270540148,133.85345273304327,11187800.0,0.04715538
1 Year,2024-01-19,CVX,Energy,135.87628894096503,136.365234375,136.37481609051258,135.18602508115248,11178900.0,0.04715538
1 Year,2024-01-22,CVX,Energy,136.0488726910286,136.60491943359375,136.76789638129097,135.09975615359554,9184600.0,0.04715538
1 Year,2024-01-23,CVX,Energy,136.12557449570144,136.221435546875,137.41022668431114,136.03928053249788,6767200.0,0.04715538
1 Year,2024-01-24,CVX,Energy,136.80622864504878,138.93453979492188,138.9920593456903,136.3460576103278,8100000.0,0.04715538
1 Year,2024-01-25,CVX,Energy,140.180860612782,142.43380737304688,142.5488464829925,139.2317440700072,9773600.0,0.04715538
1 Year,2024-01-26,CVX,Energy,141.91609949393282,142.98025512695312,143.09529423476909,140.9094634148205,9151900.0,0.04715538
1 Year,2024-01-29,CVX,Energy,142.93231120790642,142.9227294921875,143.05694665512038,141.03409286683444,10494800.0,0.04715538
1 Year,2024-01-30,CVX,Energy,142.0598924361565,143.91976928710938,144.10192428591435,141.60931773986738,9902900.0,0.04715538
1 Year,2024-01-31,CVX,Energy,144.1594410872773,141.3408660888672,144.16903743139363,141.25458676326033,10428000.0,0.04715538
1 Year,2024-02-01,CVX,Energy,142.06950328458643,141.78189086914062,142.8652246282706,140.46847888051408,8641100.0,0.04715538
1 Year,2024-02-02,CVX,Energy,144.62921648447184,145.9522247314453,147.04514013546606,143.37332413574157,12838400.0,0.04715538
1 Year,2024-02-05,CVX,Energy,145.3578157691996,146.0384979248047,147.16975477415787,144.56209451123954,8277800.0,0.04715538
1 Year,2024-02-06,CVX,Energy,146.2014618289914,146.0576629638672,147.1985014271878,145.53995779227554,6198200.0,0.04715538
1 Year,2024-02-07,CVX,Energy,146.7000121080434,145.84677124023438,147.42861752068188,144.92641447238748,6252000.0,0.04715538
1 Year,2024-02-08,CVX,Energy,145.6741980826369,147.69705200195312,147.92714485127388,145.3865856781296,9237000.0,0.04715538
1 Year,2024-02-09,CVX,Energy,148.04217774406786,144.80177307128906,148.90501492135178,144.74425351851826,9194500.0,0.04715538
1 Year,2024-02-12,CVX,Energy,145.35780529135025,145.79881286621094,146.30692170308396,145.13730881820615,6713000.0,0.04715538
1 Year,2024-02-13,CVX,Energy,146.31651899601763,144.3799591064453,146.7479449018301,143.42126087766036,6987100.0,0.04715538
1 Year,2024-02-14,CVX,Energy,145.03186286451154,144.77301025390625,145.9138634551431,143.88142794753884,5995100.0,0.04715538
1 Year,2024-02-15,CVX,Energy,145.28667238060748,149.69635009765625,150.30691039298503,145.05406882778877,8950300.0,0.04715538
1 Year,2024-02-16,CVX,Energy,150.57828295401416,149.86111450195312,150.96595556558586,149.33776017338084,7569000.0,0.04715538
1 Year,2024-02-20,CVX,Energy,150.67519942940478,149.2505340576172,150.81088114156563,149.08577874915028,6977900.0,0.04715538
1 Year,2024-02-21,CVX,Energy,149.80295433771485,150.6461181640625,150.7721136004397,149.34744830117842,6630100.0,0.04715538
1 Year,2024-02-22,CVX,Energy,150.04525583339574,150.6364288330078,151.79943186936688,149.0857827648589,8874900.0,0.04715538
1 Year,2024-02-23,CVX,Energy,150.0936976689099,149.8901824951172,150.14215859206922,148.52366431829049,6561600.0,0.04715538
1 Year,2024-02-26,CVX,Energy,149.77386629248724,149.6866455078125,150.75272661449296,149.08577149579085,6900800.0,0.04715538
1 Year,2024-02-27,CVX,Energy,148.47520433866077,147.46728515625,149.13424036378126,145.27697563638816,15093800.0,0.04715538
1 Year,2024-02-28,CVX,Energy,147.66112622022433,147.64173889160156,149.1148653147573,147.0990119957544,6715900.0,0.04715538
1 Year,2024-02-29,CVX,Energy,148.19415165428586,147.3218994140625,148.51397599688138,146.80824616970534,9334400.0,0.04715538
1 Year,2024-03-01,CVX,Energy,148.32983255767363,148.09722900390625,149.58974259456852,147.55450216664624,7458700.0,0.04715538
1 Year,2024-03-04,CVX,Energy,147.79678871579378,144.28843688964844,147.8840095009506,143.11574766581813,12503200.0,0.04715538
1 Year,2024-03-05,CVX,Energy,144.23997625928453,144.97653198242188,145.97476484975408,143.72632302806298,6985500.0,0.04715538
1 Year,2024-03-06,CVX,Energy,146.17829987595334,143.75540161132812,147.7095733537802,143.571258977105,14692100.0,0.04715538
1 Year,2024-03-07,CVX,Energy,143.9201570581683,144.76332092285156,146.10076549844356,143.87169613518935,8739300.0,0.04715538
1 Year,2024-03-08,CVX,Energy,144.7633181754252,145.25759887695312,145.36420699020454,143.81354621349274,7527400.0,0.04715538
1 Year,2024-03-11,CVX,Energy,145.85847116771498,147.3122100830078,147.3897445997404,144.97653267660337,7577100.0,0.04715538
1 Year,2024-03-12,CVX,Energy,147.14746498808336,147.2056121826172,147.86464822646275,146.1395309888367,6432900.0,0.04715538
1 Year,2024-03-13,CVX,Energy,148.5139732821777,149.1439208984375,150.10339390868572,148.42673770801184,8065600.0,0.04715538
1 Year,2024-03-14,CVX,Energy,149.02764650387746,150.8981170654297,150.92719066465182,148.04878603606915,9047200.0,0.04715538
1 Year,2024-03-15,CVX,Energy,150.40383338544868,150.7527313232422,152.19676920861752,149.6575765874631,20379100.0,0.04715538
1 Year,2024-03-18,CVX,Energy,151.21792420391225,150.61705017089844,151.83818556359668,150.1615441174211,7242700.0,0.04715538
1 Year,2024-03-19,CVX,Energy,150.51045122428326,151.78973388671875,152.00295012849105,150.2293867291297,7736700.0,0.04715538
1 Year,2024-03-20,CVX,Energy,150.95625915889266,149.78358459472656,151.60559416655957,149.47344649591332,8449100.0,0.04715538
1 Year,2024-03-21,CVX,Energy,150.17123568337638,150.08401489257812,150.8884189135126,149.647896150389,7899100.0,0.04715538
