Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,Price to Earnings Ratio,Market Cap,Dividend Yield %,52 Week Change %,Debt to Equity,Revenue Growth,Profit Margin
1 Year,2023-12-12,CVX,Energy,137.25681270090863,136.61448669433594,137.65946416942108,135.89546308015522,9863900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-13,CVX,Energy,136.29813346249122,138.63735961914062,138.7044608922511,135.7996062581459,10641300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-14,CVX,Energy,139.82613419583478,143.73760986328125,143.73760986328125,139.82613419583478,14960500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-15,CVX,Energy,141.2354234471803,143.18157958984375,143.6321689064775,141.2354234471803,30848700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-18,CVX,Energy,144.60046715055705,143.49795532226562,145.8371815278785,143.15283797577376,11561700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-19,CVX,Energy,143.76639289790904,145.3769989013672,145.55915390550035,143.3158035598662,8738100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-20,CVX,Energy,145.86593923784991,144.04441833496094,146.73835819419753,143.86226331895705,9370000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-21,CVX,Energy,144.55251386500188,144.48541259765625,144.57169192506078,143.0569470090287,7264700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-22,CVX,Energy,145.47287497017123,144.81137084960938,146.09602296945678,144.5237584543337,6394600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-26,CVX,Energy,145.78924996313683,146.11520385742188,146.69041403052947,145.6262583874199,5165600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-27,CVX,Energy,145.98099623568083,145.6358642578125,146.65208212915388,145.08939919761457,5337200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-28,CVX,Energy,144.93598181289022,143.584228515625,145.74129939059432,143.22950024653366,8148000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2023-12-29,CVX,Energy,143.83349822666656,142.9994354248047,144.02523495221737,142.52966801291694,7653800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-02,CVX,Energy,143.79514354830056,143.3061981201172,145.2235944569665,143.07611992198207,8879700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-03,CVX,Energy,143.2199228885199,146.0384979248047,146.86297895835347,142.5392407329148,10255300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-04,CVX,Energy,147.3135795486652,144.43748474121094,147.97508369495162,144.3703688406545,8220300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-05,CVX,Energy,145.70294679971272,144.18820190429688,145.75088463492065,143.6417515429319,7455100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-08,CVX,Energy,142.28998262447033,143.32537841796875,143.51711512893363,140.525981477876,10038200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-09,CVX,Energy,143.75681039603538,139.68234252929688,143.75681039603538,139.57688512877945,11784700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-10,CVX,Energy,139.98913165863289,138.5319061279297,139.98913165863289,138.15801437127413,8490400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-11,CVX,Energy,139.54811268011383,139.27967834472656,140.1329191883306,138.64693399906764,8612500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-12,CVX,Energy,141.72436869702045,141.1875,142.36669479013958,140.13292603901346,9382800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-16,CVX,Energy,140.4588773314091,137.75535583496094,140.5259932315758,137.6498984408237,9380400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-17,CVX,Energy,136.53779176943692,137.20887756347656,138.07171469459027,136.17348178328402,8167000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-18,CVX,Energy,137.09382691528887,135.9625701904297,137.27598189302054,133.85342268887538,11187800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-19,CVX,Energy,135.87628894096503,136.365234375,136.37481609051258,135.18602508115248,11178900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-22,CVX,Energy,136.0488726910286,136.60491943359375,136.76789638129097,135.09975615359554,9184600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-23,CVX,Energy,136.12557449570144,136.221435546875,137.41022668431114,136.03928053249788,6767200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-24,CVX,Energy,136.80624367009145,138.93455505371094,138.9920746107966,136.34607258483115,8100000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-25,CVX,Energy,140.180860612782,142.43380737304688,142.5488464829925,139.2317440700072,9773600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-26,CVX,Energy,141.91609949393282,142.98025512695312,143.09529423476909,140.9094634148205,9151900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-29,CVX,Energy,142.93232646771844,142.92274475097656,143.05696192823882,141.0341079239879,10494800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-30,CVX,Energy,142.0598924361565,143.91976928710938,144.10192428591435,141.60931773986738,9902900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-01-31,CVX,Energy,144.15945665035233,141.34088134765625,144.16905299550464,141.25460201273492,10428000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
